"Supply","Item","Quantity","Unit","Specification","Used for","Acceptance / source"
"FPE","Backpanel_R2",1,"plate","431.8 x431.8 x6 mm aluminum","Main panel","12 WGU30 L12;8 WGO30 L20; factory outline/holes"
"FPE","Peplink_Carrier_R2",1,"plate","180 x210 x4 mm;146 x160 R5 window","Router above Bedrock","4 WGO40 L6 native;4 support holes"
"FPE","B210_R2",1,"plate","150 x148 x4 mm aluminum","B210 above OZ","Unchanged verified adapter"
"FPE","Bedrock_R3",1,"plate","166 x184 x6 mm;two thermal fields","Bedrock on main panel","0.050 +/-0.010 mm pockets;quote acceptance"
"FPE","MeanWell_R2",1,"plate","72 x316.8 x6 mm outlined envelope","PSU side-tab adapter","Unchanged verified adapter"
"Included in backpanel","FPE WGU30",12,"stud","M3 male LOAD;12 mm;front;offset0","Mean Well,Bedrock,OZ:4 each","Native hardware;do not buy again as loose studs"
"Included in backpanel","FPE WGO30",8,"standoff","M3 female LOAD;20 mm;front;offset0","B210 and carrier supports:4 each","Native hardware;10 mm usable female thread"
"Included in carrier","FPE WGO40",4,"standoff","M4 female LOAD;6 mm;front;offset0","Peplink mounting ears","Native hardware;6 mm usable female thread"
"Loose hardware","Wurth 971500321",4,"extension","50 mm body;5.5 AF;M3 male6/female7;zinc-plated steel","Carrier:20+50=70 mm underside height","https://www.we-online.com/components/products/datasheet/971500321.pdf"
"Loose hardware","Wurth 971300321",4,"extension","30 mm body;5.5 AF;M3 male6/female7;zinc-plated steel","B210:20+30=50 mm underside height","https://www.we-online.com/components/products/datasheet/971300321.pdf"
"Loose hardware","M3x10 socket-cap screw",8,"screw","M3x0.5;head OD5.5 x3 high;2.5 mm hex drive","B210 and carrier upper plates:4 each","With4 mm plate+0.55 washer:5.45 mm insertion;1.55 mm tip margin"
"Loose hardware","M3 flat washer",16,"washer","OD7 xID3.2 x0.55 mm","8 upper screws;8 Mean Well/Bedrock stud nuts","Verify actual dimensions"
"Loose hardware","M3 large washer",4,"washer","OD9 xID3.2 x0.8 mm","OZ slots","Center in4.5 x9 mm slots"
"Loose hardware","M3 nylon-insert locknut",12,"nut","M3;5.5 AF;4 mm high","12 direct M3 studs","Verify full locking engagement"
"Loose hardware","M3x6 flat-head screw",4,"screw","M3x0.5;90 deg head;OD6","B210 to adapter","Native seat projection2.549 mm;accept2.4-2.9 mm"
"Loose hardware","M4x10 flat-head screw",2,"screw","M4x0.7;90 deg head;OD8","Mean Well to adapter","Native seat projection4.049 mm;maximum5 mm"
"Loose hardware","M4x8 flat-head screw",6,"screw","M4x0.7;90 deg head;OD8","Bedrock to adapter","Native seat projection2.949 mm;accept2.85-3.00 mm"
"Loose hardware","M4x8 pan/button-head screw",4,"screw","M4x0.7;head OD<=9 mm","Peplink to carrier standoffs","4.5 mm engagement with1 mm washer+2.5 mm ear"
"Loose hardware","M4 flat washer",4,"washer","OD9 xID4.3 x1 mm","Peplink screws","Verify supplied washer and ear thickness"
"Integration consumable","Thermal compound",,"as needed","Thin film in both Bedrock interface pockets","Bedrock/device and adapter/main panel","Retain direct thermal contact;check gaps and temperatures"
"Reuse existing","Factory enclosure stud/nut sets",4,"sets","Original enclosure hardware","Main panel to case","Nominal stud beyond nut1.34 mm;verify actual engagement"
"Separate PA12 printing","OZ base_v2",1,"part","Unfilled MJF PA12","Existing integral-ear housing","Existing OZ source;not an FPE plate"
"Separate PA12 printing","OZ cover_v2",1,"part","Unfilled MJF PA12","Existing snap cover","Remove B210 for cover service"
