kit,id,into,at_xyz,thread,screw,under_head,grip_mm,engagement_mm,max_penetration_mm,torque_nm,optional,note
deck_tab_kit,M4_tab_-X_terminal_end,NSP-1600 side wall,"(-42.5, -5.8, 22.8)",M4x0.7,M4x8 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 tab, flush",3.8,4.2,5.0,0.8,no,"threaded cross-tube, real in the vendor STEP"
deck_tab_kit,M5_tab_foot_-X_terminal_end,host deck,"(-56.0, -5.8, 0)",M5 into the deck; M5 + nut through a strap's shelf,M5x12 socket cap A4-70 + washer; add a nut on a strap,washer on the tab's foot,3.0,,,4.0,no,"slot +/-2.25 across the unit: tighten the M4 flush first, this second"
deck_tab_kit,M4_tab_+X_terminal_end,NSP-1600 side wall,"(+42.5, -5.8, 22.8)",M4x0.7,M4x8 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 tab, flush",3.8,4.2,5.0,0.8,no,"threaded cross-tube, real in the vendor STEP"
deck_tab_kit,M5_tab_foot_+X_terminal_end,host deck,"(+56.0, -5.8, 0)",M5 into the deck; M5 + nut through a strap's shelf,M5x12 socket cap A4-70 + washer; add a nut on a strap,washer on the tab's foot,3.0,,,4.0,no,"slot +/-2.25 across the unit: tighten the M4 flush first, this second"
deck_tab_kit,M4_tab_-X_fan_end,NSP-1600 side wall,"(-42.5, -257.8, 22.8)",M4x0.7,M4x8 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 tab, flush",3.8,4.2,5.0,0.8,no,NOT modelled in the vendor STEP (dia 5 clearance only) - verify on a unit
deck_tab_kit,M5_tab_foot_-X_fan_end,host deck,"(-56.0, -257.8, 0)",M5 into the deck; M5 + nut through a strap's shelf,M5x12 socket cap A4-70 + washer; add a nut on a strap,washer on the tab's foot,3.0,,,4.0,no,"slot +/-2.25 across the unit: tighten the M4 flush first, this second"
deck_tab_kit,M4_tab_+X_fan_end,NSP-1600 side wall,"(+42.5, -257.8, 22.8)",M4x0.7,M4x8 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 tab, flush",3.8,4.2,5.0,0.8,no,NOT modelled in the vendor STEP (dia 5 clearance only) - verify on a unit
deck_tab_kit,M5_tab_foot_+X_fan_end,host deck,"(+56.0, -257.8, 0)",M5 into the deck; M5 + nut through a strap's shelf,M5x12 socket cap A4-70 + washer; add a nut on a strap,washer on the tab's foot,3.0,,,4.0,no,"slot +/-2.25 across the unit: tighten the M4 flush first, this second"
bulkhead_strap_kit,M4_tab_+X_terminal_end,NSP-1600 side wall,"(+42.5, -5.8, 22.8)",M4x0.7,M4x8 socket cap A4-70,"DIN 125 M4 A4, 0.8 mm + 3.0 tab, flush",3.8,4.2,5.0,0.8,no,"threaded cross-tube, real in the vendor STEP"
bulkhead_strap_kit,M5_tab_foot_+X_terminal_end,bulkhead_strap shelf (nut below),"(+56.0, -5.8, 0)",M5 into the deck; M5 + nut through a strap's shelf,M5x12 socket cap A4-70 + washer; add a nut on a strap,washer on the tab's foot,3.0,,,4.0,no,"slot +/-2.25 across the unit: tighten the M4 flush first, this second"
