"Supply","Item","Quantity","Unit","Specification","Used for","Acceptance / source"
"FPE","Backpanel_R1",1,"plate","431.8 x431.8 x6 mm aluminum","Main mounting panel","Alloy and finished thickness per ORDERING_NOTES"
"FPE","B210_R2",1,"plate","150 x148 x4 mm aluminum","B210 adapter","Four M3 device seats; no added studs"
"FPE","MeanWell_R2",1,"plate","72 x316.8 x6 mm maximum outlined envelope","PSU side-tab adapter","Two M4 device seats; no added studs"
"FPE","Bedrock_R3",1,"plate","166 x184 x6 mm aluminum; two thermal fields","Bedrock adapter","0.050 +/-0.010 mm pockets require quote acceptance"
"Included in backpanel","FPE WGU30",16,"stud","M3 male load stud; 12 mm; front; depth offset0","Four each: B210, Mean Well, Bedrock, OZ","Native hardware; do not also purchase loose studs"
"Included in backpanel","FPE WGO40",4,"standoff","M4 female load standoff; 6 mm; front; depth offset0","Peplink","Native hardware; selected catalog body OD5 mm"
"Loose hardware","M3 flat washer",12,"washer","OD7 xID3.2 x0.55 mm","B210/Mean Well/Bedrock stud nuts","Source reference McMaster98688A142; check supplied dimensions"
"Loose hardware","M3 large washer",4,"washer","OD9 xID3.2 x0.8 mm","OZ integral mounting ears","Center in source4.5 x9 mm slots"
"Loose hardware","M3 nylon-insert locknut",16,"nut","M3; 5.5 mm across flats; 4 mm high","All16 M3 backpanel studs","Source reference McMaster90576A102; verify complete locking engagement"
"Loose hardware","M3x6 flat-head screw",4,"screw","M3x0.5; 6 mm overall; 90 deg head; head OD6 mm","B210 to adapter","Nominal2.55 mm projection; actual acceptance2.4-2.9 mm"
"Loose hardware","M4x10 flat-head screw",2,"screw","M4x0.7; 10 mm overall; 90 deg head; head OD8 mm","Mean Well to adapter","Nominal4.05 mm projection; do not exceed5 mm"
"Loose hardware","M4x8 flat-head screw",6,"screw","M4x0.7; 8 mm overall; 90 deg head; head OD8 mm","Bedrock to adapter","Actual projection2.85-3.00 mm; thread engagement>=2 mm; tip gap>=0.5 mm"
"Loose hardware","M4x8 pan/button-head screw",4,"screw","M4x0.7; 8 mm under-head length; head OD<=9 mm","Peplink to female standoffs","Use1 mm washer and2.5 mm ear for4.5 mm nominal engagement"
"Loose hardware","M4 flat washer",4,"washer","OD9 xID4.3 x1.0 mm","Peplink mounting screws","Check actual washer thickness and standoff thread depth"
"Integration consumable","Thermal compound",,"as needed","Thin film in both0.05 mm Bedrock interface pockets","Device/adapter and adapter/backpanel","Source reference McMaster10405K83; no thermal performance qualification"
"Reuse existing","Factory enclosure studs and nuts",4,"sets","Original enclosure hardware","New backpanel to enclosure","Do not infer thread from STEP; verify1.34 mm nominal remaining stud beyond nut"
"Separate PA12 printing","OZ base_v2",1,"part","Unfilled MJF PA12 nylon","OZ housing base with integral ears","Source oz51x-dual-tx-housing-vertical-snap/exports/base_v2.step"
"Separate PA12 printing","OZ cover_v2",1,"part","Unfilled MJF PA12 nylon","OZ snap cover","Source oz51x-dual-tx-housing-vertical-snap/exports/cover_v2.step"
