item_id,mcmaster_part_number,description,qty_flat,qty_upright,qty_combined,quantity_unit,installed_qty_flat,installed_qty_upright,installed_qty_combined,installed_quantity_unit,pack_qty,pack_unit,pack_price_usd,cost_per_unit_exact_usd,buy_packs_flat,buy_packs_upright,buy_packs_combined,received_units_combined,procurement_cost_flat_usd,procurement_cost_upright_usd,procurement_cost_combined_usd,source_date,evidence_status,url,notes
H01,91290A197,M5 x 0.8 x 45 mm fully threaded socket-head cap screw; Class 12.9 black-oxide alloy steel; DIN 912 / ISO 4762; head Ø8.5 x 5 mm; 4 mm hex,4,4,8,screw,,,,,5,screw,3.26,0.652,1,1,2,10,3.26,3.26,6.52,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/91290A197/,"Retainer screw into 9.20 mm aluminum boss only. Nominal 5 mm bar + 1 mm washer + 30 mm spacer + 0.6508 mm selected shim stack gives 8.3492 mm nominal screw entry and 0.8508 mm nominal tip recess. Measure actual device, spacer, bonded film and shim stack. Select final cold/warm top gap 0.20–0.30 mm, at least 7.5 mm effective full-thread engagement, and at least 0.5 mm screw-tip recess. Nominal entry is not effective full-thread engagement. Dry indoor service. No catalog tightening torque supplied."
H02,91290A252,M5 x 0.8 x 25 mm fully threaded socket-head cap screw; Class 12.9 black-oxide alloy steel; DIN 912 / ISO 4762; head Ø8.5 x 5 mm; 4 mm hex,4,4,8,screw,,,,,50,screw,10.96,0.2192,1,1,1,50,10.96,10.96,10.96,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/91290A252/,Flat: four base-to-support bolts. Upright: four cradle-to-web bolts only. The four foot bolts are H07 M5 x 30 mm. Specified counts assume 6 mm supporting plate; reselect length if plate or stack changes. Do not apply full Class 12.9 screw preload to lower-rated nut/washer or aluminum members.
H03,98688A144,M5 zinc-plated high-strength steel flat washer; ISO 7089; Ø5.3 ID x Ø10 OD x 0.9–1.1 mm; Rockwell C30; catalog for Class 10.9,12,16,28,washer,,,,,100,washer,10.82,0.1082,1,1,1,100,10.82,10.82,10.82,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/98688A144/,"One under each retainer screw; one under head and one under nut at through-bolt joints except upright foot TOP: those four washers are H06 Ø15 mm. Upright foot bottom nuts retain H03 Ø10 mm washers. Actual 0.9–1.1 mm thickness enters the screw stack. Washer is listed for Class 10.9, not full Class 12.9 assembly capacity."
H04,94645A102,M5 x 0.8 nylon-insert locknut; Class 10 zinc-plated steel; DIN 985; 8 mm across flats x 5 mm overall height; 6H,4,8,12,nut,,,,,100,nut,15.66,0.1566,1,1,1,100,15.66,15.66,15.66,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/94645A102/,Through-bolt joints only. Nylon insert maximum 185°F /85°C. Class 10 nut limits the joint; no Class 12.9 joint rating claimed. Replace nuts after prototype removal cycles before final installation; locking retention diminishes with reuse.
H05,94669A146,Aluminum unthreaded round spacer for M5; 30 mm long x Ø10 mm OD x Ø5.3 mm ID; each dimension ±0.13 mm,4,4,8,spacer,,,,,1,spacer,2.14,2.14,4,4,8,8,8.56,8.56,17.12,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/94669A146/,"Catalog alloy, temper, yield strength and finish are not specified. Do not label this bought spacer 6061-T6. Inspect actual length and match/select/shim for required finished top clearance. Price uses observed 1–24 piece tier; quantities here remain in that tier."
H06,91100A140,M5 zinc-plated steel oversized flat washer; DIN 9021; Ø5.3 ID x Ø15 OD x 1.0–1.4 mm; Rockwell B56; foot TOP only,0,4,4,washer,,,,,100,washer,5.12,0.0512,0,1,1,100,0.00,5.12,5.12,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/91100A140/,"Upright foot TOP only: one under each of four foot screw heads. Replaces H03 at those four positions. Do not stack an extra H03 above it. Model nominal thickness is 1.2 mm; catalog allows 1.0–1.4 mm. Recheck foot screw protrusion with measured washers. Catalog table and technical drawing do not state ID/OD tolerance. Incoming acceptance OD ≥14.9 mm is a design requirement, not a supplier-guaranteed tolerance. Catalog hardness is Rockwell B56 and DIN 9021 is stated; no strength grade/class or yield value is specified. Do not use full Class 12.9 preload. Qualify washer and aluminum bearing behavior on prototype. Material certificate with traceable lot number available; observed delivery label tomorrow is not a delivery commitment."
H07,91290A194,M5 x 0.8 x 30 mm fully threaded socket-head cap screw; Class 12.9 black-oxide alloy steel; DIN 912 / ISO 4762; head Ø8.5 x 5 mm; 4 mm hex; upright foot only,0,4,4,screw,,,,,10,screw,4.59,0.459,0,1,1,10,0.00,4.59,4.59,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/91290A194/,"Upright foot only: four screws through integral 10 mm total-thickness bolt seats. Main foot remains 6 mm thick. Nominal head-to-nut-end stack: 10 mm seat + 1.2 mm H06 top washer + 6 mm supporting plate + 1 mm H03 bottom washer + 5 mm H04 nut = 23.2 mm. M5 x 30 gives 6.8 mm nominal tail beyond nut. Inspect actual stack, full nut engagement, nylon insert engagement, thread protrusion and underside clearance. Reselect length if support-plate thickness changes. Integral seat provides local foot stiffness; the engineering screen does not rely on the soft oversized washer to spread bending load. Do not apply full Class 12.9 screw preload to the lower-rated joint."
C01,8689K65,Adhesive-backed smooth semi-clear PET sheet; acrylic adhesive; 27 x 20 in; nominal film 0.005 in (0.127 mm),1,1,1,sheet,8,8,16,"cut patch,16 x 20 mm,R1",1,sheet,4.00,4,1,1,1,1,4.00,4.00,4.00,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/8689K65/,"Eight 16 x 20 mm R1 patches per mount; 16 for two independent mounts. One purchased sheet supplies either or both. Catalog thickness ±0.0005 in; adhesive inclusion is not explicit. Measure bonded thickness with liner removed; installed total must be ≤0.20 mm. No friction, structural support or cooling credit. Do not substitute compressible foam."
C02,91458A115,LOCTITE 243 medium-strength blue removable threadlocker; 0.34 fl oz bottle (approximately 10 mL),AR,AR,AR,bottle,,,,,1,bottle,18.42,18.42,1,1,1,1,18.42,18.42,18.42,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/91458A115/,Initial procurement: one shared bottle for either or both mounts; installed quantity is as required at four retainer threads per mount. Apply only to tapped retainer joint as specified. Keep off nylon nuts and anti-mar film. Use Henkel product-specific TDS; actual cure and removal procedure require representative-joint qualification. Published adhesive breakaway data are not installation torque.
S01,98055A095,Spring-steel DIN 988 shim; Ø5 nominal ID x Ø10 OD x 0.10 mm; actual thickness 0.07–0.10 mm,AR,AR,AR,shim,,,,,50,shim,5.52,0.1104,1,1,1,50,5.52,5.52,5.52,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/98055A095/,"Prototype selection inventory: one pack shared across either or both mounts; installed count depends on measurement. Actual ID5.03–5.40 mm, OD9.53–9.96 mm. No more than four stacked shims per location without redesign. Dry indoor service; center within bearing face. Nominal recipe uses 4 of this part per mount / 8 for both; actual count remains AR."
S02,98055A098,Spring-steel DIN 988 shim; Ø5 nominal ID x Ø10 OD x 0.50 mm; actual thickness 0.45–0.50 mm,AR,AR,AR,shim,,,,,50,shim,6.90,0.138,1,1,1,50,6.90,6.90,6.90,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/98055A098/,"Prototype selection inventory: one pack shared across either or both mounts; installed count depends on measurement. Actual ID5.03–5.40 mm, OD9.53–9.96 mm. No more than four stacked shims per location without redesign. Dry indoor service; center within bearing face. Nominal recipe uses 4 of this part per mount / 8 for both; actual count remains AR."
S03,98126A161,18-8 stainless fine shim; ASTM A240; 1/4 in ID x 3/8 in OD x 0.002 in thick (0.0508 mm nominal),AR,AR,AR,shim,,,,,10,shim,8.31,0.831,1,1,1,10,8.31,8.31,8.31,2026-09-08,VERIFIED_PRIMARY_LIVE_PRODUCT_DETAIL,https://www.mcmaster.com/98126A161/,"Fine-step prototype selection inventory: one pack shared across either or both mounts. Not an exact metric 0.05 mm M5 washer. Actual ID6.35–6.6294 mm, OD9.4742–9.5758 mm, thickness0.0381–0.0635 mm. Larger bore/smaller annulus requires centered placement and verified bearing support; do not automatically substitute under a screw head without the specified washer. Nominal recipe uses 4 of this part per mount / 8 for both; actual count remains AR."
TOTAL,,Starter purchase inventory; one flat and one upright independent mount,,,,,,,,,,,,,,,,,92.41,102.12,113.94,2026-09-08,,,"Observed public McMaster prices only, excluding shipping, tax, machining, finish, support structure and purchased radio. Reconfirm at procurement; no quote or purchase performed."
