variant,id,into,at_xyz,thread,screw,bracket_grip_mm,engagement_mm,max_penetration_mm,torque_nm,optional,note
upright_deck / upright_bulkhead / low_profile_side,M3_backwall_Z50,Bedrock +Y back wall,"(0, 65, 50)",M3x0.5,M3x5 socket cap A4-70,2.5,2.5,3.0,0.5,no,the 0.5 mm spotface sets the grip; M3x6 here bottoms out and jacks the bracket off the land
upright_deck / upright_bulkhead / low_profile_side,M3_backwall_Z110,Bedrock +Y back wall,"(0, 65, 110)",M3x0.5,M3x5 socket cap A4-70,2.5,2.5,3.0,0.5,no,the 0.5 mm spotface sets the grip; M3x6 here bottoms out and jacks the bracket off the land
upright_deck / upright_bulkhead / low_profile_side,M4_bottom,Bedrock -Z end cap,"(6, 0, 0)",M4x0.7,M4x8 countersunk 90deg A4-70,3.0,5.0,8.0,2.0,YES,probably a vendor bottom-cover screw - confirm with SolidRun. Every mount stands up without it.
tile_side_plate,TILE_M4_1,Bedrock Tile -X side flat,"(-14.5, -60, 10)",M4x0.7,M4x6 socket cap A4-70,3.0,3.0,3.5,2.0,no,Tile chassis only - this pattern does not exist on 30 W or 60 W
tile_side_plate,TILE_M4_2,Bedrock Tile -X side flat,"(-14.5, 60, 10)",M4x0.7,M4x6 socket cap A4-70,3.0,3.0,3.5,2.0,no,Tile chassis only - this pattern does not exist on 30 W or 60 W
tile_side_plate,TILE_M4_3,Bedrock Tile -X side flat,"(-14.5, 0, 40)",M4x0.7,M4x6 socket cap A4-70,3.0,3.0,3.5,2.0,no,Tile chassis only - this pattern does not exist on 30 W or 60 W
tile_side_plate,TILE_M4_4,Bedrock Tile -X side flat,"(-14.5, 0, 110)",M4x0.7,M4x6 socket cap A4-70,3.0,3.0,3.5,2.0,no,Tile chassis only - this pattern does not exist on 30 W or 60 W
tile_side_plate,TILE_M4_5,Bedrock Tile -X side flat,"(-14.5, -50, 150)",M4x0.7,M4x6 socket cap A4-70,3.0,3.0,3.5,2.0,no,Tile chassis only - this pattern does not exist on 30 W or 60 W
tile_side_plate,TILE_M4_6,Bedrock Tile -X side flat,"(-14.5, 50, 150)",M4x0.7,M4x6 socket cap A4-70,3.0,3.0,3.5,2.0,no,Tile chassis only - this pattern does not exist on 30 W or 60 W
hybrid_cold_plate,HYB_M4_1,Bedrock hybrid flat side (Tile core),"(-14.5, -60, 10)",M4x0.7,M4x8 countersunk 90deg A4-70,5.0,3.0,3.5,2.5,no,the core's bores are tapped from both ends - a fin-bank screw on the other side uses the same bore and never meets this one
